image_name,run_length,value,huffman_code,code_length
0000.jpg,3,13,1010100001111,13
0000.jpg,4,-15,0001101100001,13
0000.jpg,4,-12,0111101111011,13
0000.jpg,4,-11,0011101101100,13
0000.jpg,4,-8,1111110000001,13
0000.jpg,4,9,1111110000010,13
0000.jpg,4,12,0011101101011,13
0000.jpg,4,13,0000000101000,13
0000.jpg,5,-15,0011101101111,13
0000.jpg,5,-13,0001101100011,13
0000.jpg,5,-11,0001101100100,13
0000.jpg,5,-10,0101011101000,13
0000.jpg,5,11,0000000101001,13
0000.jpg,5,12,1110101011001,13
0000.jpg,6,-17,0101011100100,13
0000.jpg,6,-16,0011101101110,13
0000.jpg,6,-14,1111100101001,13
0000.jpg,6,-13,1011001100111,13
0000.jpg,6,-12,1011001100110,13
0000.jpg,6,-11,0101011100111,13
0000.jpg,6,-10,1011010011011,13
0000.jpg,6,11,1111100101010,13
0000.jpg,6,12,1110101011010,13
0000.jpg,7,-24,0001101100101,13
0000.jpg,7,-23,0101011001000,13
0000.jpg,7,-18,0001100001000,13
0000.jpg,7,-17,1011010011100,13
0000.jpg,7,-12,1110101011011,13
0000.jpg,7,-9,1111100101011,13
0000.jpg,8,-2,1110101011000,13
0000.jpg,11,-1,0011101101101,13
0000.jpg,15,-2,1010100010101,13
0000.jpg,15,2,1010100010110,13
0000.jpg,22,-1,1011010011010,13
0000.jpg,22,1,1010100010100,13
0000.jpg,0,-35,01010111010111,14
0000.jpg,0,-34,10101000110001,14
0000.jpg,0,-32,11111101000110,14
0000.jpg,0,-31,11111101000000,14
0000.jpg,0,-30,00011011011100,14
0000.jpg,0,-29,11111101000011,14
0000.jpg,0,-28,10110100111100,14
0000.jpg,0,-27,10110110110000,14
0000.jpg,0,103,11111101000101,14
0000.jpg,0,104,01010111010101,14
0000.jpg,0,105,01010111010110,14
0000.jpg,0,106,10110100111010,14
0000.jpg,0,107,00011011010000,14
0000.jpg,0,108,10110100111011,14
0000.jpg,0,110,11101011000001,14
0000.jpg,0,111,11101011000000,14
0000.jpg,0,112,01010111011001,14
0000.jpg,0,113,11101010111100,14
0000.jpg,0,114,11101010111011,14
